,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0: ,0,0,0,0,0,0,0
1: ,0,0,0,0,0,0,0
2: ,0,0,0,0,0,0,0
3: ,0,0,0,0,0,0,0
4: ,0,0,0,0,0,0,0
5: ,0,0,0,0,0,0,0
6: ,0,0,0,0,0,0,0
7: ,1,1,2,1,2,0,0
8: ,23,12,14,15,14,9,0
9: ,19,18,17,16,19,15,0
10: ,24,16,15,19,19,12,0
11: ,19,19,18,16,20,8,0
12: ,21,19,22,18,22,7,0
13: ,17,17,18,15,16,7,0
14: ,22,16,14,13,15,7,0
15: ,16,22,18,15,14,7,0
16: ,22,15,20,19,18,0,0
17: ,14,9,17,14,13,0,0
18: ,7,11,8,10,1,0,0
19: ,5,4,9,5,0,0,0
20: ,0,0,0,0,0,0,0
21: ,0,0,0,0,0,0,0
22: ,0,0,0,0,0,0,0
23: ,0,0,0,0,0,0,0
